#FASTQ	SAMPLEID	DATASET	url
ERR188022_1.fastq.gz	NA12812	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188022/ERR188022_1.fastq.gz
ERR188022_2.fastq.gz	NA12812	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188022/ERR188022_2.fastq.gz
ERR188024_1.fastq.gz	NA12749	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188024/ERR188024_1.fastq.gz
ERR188024_2.fastq.gz	NA12749	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188024/ERR188024_2.fastq.gz
ERR188027_1.fastq.gz	NA07056	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188027/ERR188027_1.fastq.gz
ERR188027_2.fastq.gz	NA07056	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188027/ERR188027_2.fastq.gz
ERR188032_1.fastq.gz	NA12275	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188032/ERR188032_1.fastq.gz
ERR188032_2.fastq.gz	NA12275	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188032/ERR188032_2.fastq.gz
ERR188039_1.fastq.gz	NA12144	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_1.fastq.gz
ERR188039_2.fastq.gz	NA12144	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_2.fastq.gz
ERR188047_1.fastq.gz	NA06994	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188047/ERR188047_1.fastq.gz
ERR188047_2.fastq.gz	NA06994	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188047/ERR188047_2.fastq.gz
ERR188048_1.fastq.gz	NA12489	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188048/ERR188048_1.fastq.gz
ERR188048_2.fastq.gz	NA12489	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188048/ERR188048_2.fastq.gz
ERR188049_1.fastq.gz	NA11931	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188049/ERR188049_1.fastq.gz
ERR188049_2.fastq.gz	NA11931	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188049/ERR188049_2.fastq.gz
ERR188051_1.fastq.gz	NA12830	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188051/ERR188051_1.fastq.gz
ERR188051_2.fastq.gz	NA12830	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188051/ERR188051_2.fastq.gz
ERR188058_1.fastq.gz	NA12005	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188058/ERR188058_1.fastq.gz
ERR188058_2.fastq.gz	NA12005	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188058/ERR188058_2.fastq.gz
ERR188061_1.fastq.gz	NA12761	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188061/ERR188061_1.fastq.gz
ERR188061_2.fastq.gz	NA12761	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188061/ERR188061_2.fastq.gz
ERR188062_1.fastq.gz	NA11992	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188062/ERR188062_1.fastq.gz
ERR188062_2.fastq.gz	NA11992	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188062/ERR188062_2.fastq.gz
ERR188067_1.fastq.gz	NA11831	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188067/ERR188067_1.fastq.gz
ERR188067_2.fastq.gz	NA11831	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188067/ERR188067_2.fastq.gz
ERR188076_1.fastq.gz	NA12006	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188076/ERR188076_1.fastq.gz
ERR188076_2.fastq.gz	NA12006	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188076/ERR188076_2.fastq.gz
ERR188077_1.fastq.gz	NA11893	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188077/ERR188077_1.fastq.gz
ERR188077_2.fastq.gz	NA11893	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188077/ERR188077_2.fastq.gz
ERR188081_1.fastq.gz	NA12814	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188081/ERR188081_1.fastq.gz
ERR188081_2.fastq.gz	NA12814	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188081/ERR188081_2.fastq.gz
ERR188086_1.fastq.gz	NA11892	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188086/ERR188086_1.fastq.gz
ERR188086_2.fastq.gz	NA11892	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188086/ERR188086_2.fastq.gz
ERR188092_1.fastq.gz	NA12546	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188092/ERR188092_1.fastq.gz
ERR188092_2.fastq.gz	NA12546	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188092/ERR188092_2.fastq.gz
ERR188099_1.fastq.gz	NA12843	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188099/ERR188099_1.fastq.gz
ERR188099_2.fastq.gz	NA12843	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188099/ERR188099_2.fastq.gz
ERR188100_1.fastq.gz	NA12762	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188100/ERR188100_1.fastq.gz
ERR188100_2.fastq.gz	NA12762	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188100/ERR188100_2.fastq.gz
ERR188101_1.fastq.gz	NA10847	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188101/ERR188101_1.fastq.gz
ERR188101_2.fastq.gz	NA10847	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188101/ERR188101_2.fastq.gz
ERR188107_1.fastq.gz	NA12342	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188107/ERR188107_1.fastq.gz
ERR188107_2.fastq.gz	NA12342	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188107/ERR188107_2.fastq.gz
ERR188122_1.fastq.gz	NA11894	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188122/ERR188122_1.fastq.gz
ERR188122_2.fastq.gz	NA11894	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188122/ERR188122_2.fastq.gz
ERR188134_1.fastq.gz	NA12827	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188134/ERR188134_1.fastq.gz
ERR188134_2.fastq.gz	NA12827	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188134/ERR188134_2.fastq.gz
ERR188140_1.fastq.gz	NA12716	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188140/ERR188140_1.fastq.gz
ERR188140_2.fastq.gz	NA12716	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188140/ERR188140_2.fastq.gz
ERR188142_1.fastq.gz	NA12287	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188142/ERR188142_1.fastq.gz
ERR188142_2.fastq.gz	NA12287	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188142/ERR188142_2.fastq.gz
ERR188148_1.fastq.gz	NA12282	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188148/ERR188148_1.fastq.gz
ERR188148_2.fastq.gz	NA12282	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188148/ERR188148_2.fastq.gz
ERR188152_1.fastq.gz	NA12751	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188152/ERR188152_1.fastq.gz
ERR188152_2.fastq.gz	NA12751	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188152/ERR188152_2.fastq.gz
ERR188157_1.fastq.gz	NA12872	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188157/ERR188157_1.fastq.gz
ERR188157_2.fastq.gz	NA12872	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188157/ERR188157_2.fastq.gz
ERR188161_1.fastq.gz	NA11918	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188161/ERR188161_1.fastq.gz
ERR188161_2.fastq.gz	NA11918	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188161/ERR188161_2.fastq.gz
ERR188172_1.fastq.gz	NA12154	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188172/ERR188172_1.fastq.gz
