#FASTQ	SAMPLEID	DATASET	url
ERR188030_1.fastq.gz	NA19119	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188030/ERR188030_1.fastq.gz
ERR188030_2.fastq.gz	NA19119	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188030/ERR188030_2.fastq.gz
ERR188037_1.fastq.gz	NA19236	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188037/ERR188037_1.fastq.gz
ERR188037_2.fastq.gz	NA19236	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188037/ERR188037_2.fastq.gz
ERR188042_1.fastq.gz	NA19204	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188042/ERR188042_1.fastq.gz
ERR188042_2.fastq.gz	NA19204	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188042/ERR188042_2.fastq.gz
ERR188044_1.fastq.gz	NA18498	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188044/ERR188044_1.fastq.gz
ERR188044_2.fastq.gz	NA18498	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188044/ERR188044_2.fastq.gz
ERR188055_1.fastq.gz	NA19171	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188055/ERR188055_1.fastq.gz
ERR188055_2.fastq.gz	NA19171	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188055/ERR188055_2.fastq.gz
ERR188060_1.fastq.gz	NA18517	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188060/ERR188060_1.fastq.gz
ERR188060_2.fastq.gz	NA18517	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188060/ERR188060_2.fastq.gz
ERR188064_1.fastq.gz	NA19144	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188064/ERR188064_1.fastq.gz
ERR188064_2.fastq.gz	NA19144	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188064/ERR188064_2.fastq.gz
ERR188066_1.fastq.gz	NA19118	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188066/ERR188066_1.fastq.gz
ERR188066_2.fastq.gz	NA19118	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188066/ERR188066_2.fastq.gz
ERR188069_1.fastq.gz	NA19096	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188069/ERR188069_1.fastq.gz
ERR188069_2.fastq.gz	NA19096	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188069/ERR188069_2.fastq.gz
ERR188072_1.fastq.gz	NA19137	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188072/ERR188072_1.fastq.gz
ERR188072_2.fastq.gz	NA19137	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188072/ERR188072_2.fastq.gz
ERR188074_1.fastq.gz	NA19257	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188074/ERR188074_1.fastq.gz
ERR188074_2.fastq.gz	NA19257	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188074/ERR188074_2.fastq.gz
ERR188085_1.fastq.gz	NA18520	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188085/ERR188085_1.fastq.gz
ERR188085_2.fastq.gz	NA18520	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188085/ERR188085_2.fastq.gz
ERR188096_1.fastq.gz	NA18933	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188096/ERR188096_1.fastq.gz
ERR188096_2.fastq.gz	NA18933	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188096/ERR188096_2.fastq.gz
ERR188097_1.fastq.gz	NA18511	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188097/ERR188097_1.fastq.gz
ERR188097_2.fastq.gz	NA18511	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188097/ERR188097_2.fastq.gz
ERR188103_1.fastq.gz	NA19184	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188103/ERR188103_1.fastq.gz
ERR188103_2.fastq.gz	NA19184	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188103/ERR188103_2.fastq.gz
ERR188104_1.fastq.gz	NA19146	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188104/ERR188104_1.fastq.gz
ERR188104_2.fastq.gz	NA19146	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188104/ERR188104_2.fastq.gz
ERR188109_1.fastq.gz	NA19121	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188109/ERR188109_1.fastq.gz
ERR188109_2.fastq.gz	NA19121	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188109/ERR188109_2.fastq.gz
ERR188120_1.fastq.gz	NA19256	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188120/ERR188120_1.fastq.gz
ERR188120_2.fastq.gz	NA19256	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188120/ERR188120_2.fastq.gz
ERR188128_1.fastq.gz	NA19092	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188128/ERR188128_1.fastq.gz
ERR188128_2.fastq.gz	NA19092	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188128/ERR188128_2.fastq.gz
ERR188129_1.fastq.gz	NA19197	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188129/ERR188129_1.fastq.gz
ERR188129_2.fastq.gz	NA19197	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188129/ERR188129_2.fastq.gz
ERR188131_1.fastq.gz	NA19213	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188131/ERR188131_1.fastq.gz
ERR188131_2.fastq.gz	NA19213	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188131/ERR188131_2.fastq.gz
ERR188139_1.fastq.gz	NA18917	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188139/ERR188139_1.fastq.gz
ERR188139_2.fastq.gz	NA18917	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188139/ERR188139_2.fastq.gz
ERR188151_1.fastq.gz	NA18489	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188151/ERR188151_1.fastq.gz
ERR188151_2.fastq.gz	NA18489	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188151/ERR188151_2.fastq.gz
ERR188158_1.fastq.gz	NA18502	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188158/ERR188158_1.fastq.gz
ERR188158_2.fastq.gz	NA18502	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188158/ERR188158_2.fastq.gz
ERR188162_1.fastq.gz	NA18508	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188162/ERR188162_1.fastq.gz
ERR188162_2.fastq.gz	NA18508	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188162/ERR188162_2.fastq.gz
ERR188165_1.fastq.gz	NA18510	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188165/ERR188165_1.fastq.gz
ERR188165_2.fastq.gz	NA18510	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188165/ERR188165_2.fastq.gz
ERR188170_1.fastq.gz	NA19131	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188170/ERR188170_1.fastq.gz
ERR188170_2.fastq.gz	NA19131	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188170/ERR188170_2.fastq.gz
ERR188174_1.fastq.gz	NA19198	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188174/ERR188174_1.fastq.gz
ERR188174_2.fastq.gz	NA19198	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188174/ERR188174_2.fastq.gz
ERR188178_1.fastq.gz	NA19114	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188178/ERR188178_1.fastq.gz
ERR188178_2.fastq.gz	NA19114	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188178/ERR188178_2.fastq.gz
ERR188182_1.fastq.gz	NA18912	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188182/ERR188182_1.fastq.gz
ERR188182_2.fastq.gz	NA18912	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188182/ERR188182_2.fastq.gz
ERR188183_1.fastq.gz	NA19185	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188183/ERR188183_1.fastq.gz
ERR188183_2.fastq.gz	NA19185	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188183/ERR188183_2.fastq.gz
ERR188184_1.fastq.gz	NA19147	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188184/ERR188184_1.fastq.gz
